student_id,study_hours,attendance_percentage,internet_access,extra_activities,math_score,science_score,english_score,overall_score,final_grade
127,2.4,76.6,no,no,40.3,64.6,67.1,52.7,E
128,7.0,89.0,yes,no,83.8,71.4,71.2,82.6,C
129,4.1,67.7,yes,no,72.3,71.7,66.9,65.0,D
130,5.9,73.9,yes,yes,80.4,66.8,92.5,81.1,C
131,4.7,80.4,yes,yes,72.7,78.1,75.3,73.8,C
132,2.8,63.5,yes,no,27.5,63.3,41.9,40.6,E
133,2.6,80.3,yes,yes,49.8,39.9,35.2,43.3,E
134,6.1,57.4,yes,no,99.2,81.5,86.3,78.3,C
135,4.5,81.1,yes,no,77.4,70.7,84.0,73.4,C
136,3.2,57.2,yes,yes,59.8,53.9,63.5,50.1,E
137,5.1,88.8,no,yes,72.8,80.9,87.6,81.6,C
138,3.6,59.7,no,no,43.6,78.1,50.4,54.2,E
139,4.1,82.3,yes,no,59.7,71.3,67.0,67.6,D
140,5.6,79.1,yes,yes,88.7,76.9,76.4,85.7,B
141,3.9,71.3,yes,no,53.8,46.4,54.2,52.6,E
142,7.6,82.3,yes,yes,73.5,100.0,92.8,89.7,B
143,4.1,92.3,yes,yes,58.5,59.0,66.5,62.0,D
144,7.7,56.0,yes,no,79.1,91.3,92.0,78.7,C
145,6.9,83.8,no,no,99.1,100.0,96.2,95.6,A
146,7.2,70.5,yes,yes,90.9,86.7,82.9,90.2,B
147,6.2,83.7,no,yes,93.3,78.5,82.8,84.5,C
148,5.0,93.8,yes,yes,58.1,77.1,74.9,71.7,C
149,4.5,82.6,yes,yes,87.0,58.0,76.3,68.7,D
150,4.6,58.0,yes,no,41.0,73.1,57.3,61.2,D
151,2.0,70.8,yes,no,47.8,30.8,32.8,36.9,F
152,2.1,77.5,yes,no,52.8,37.9,45.6,39.3,F
153,0.8,56.3,yes,no,12.8,26.2,14.7,22.6,F
154,6.1,82.2,yes,yes,100.0,91.6,92.1,87.5,B
155,1.4,85.7,yes,yes,45.4,37.1,55.7,46.8,E
156,4.9,88.1,yes,no,75.8,57.7,77.6,77.5,C
157,1.5,56.0,yes,no,35.6,20.4,33.1,26.5,F
158,1.0,85.3,no,no,39.8,41.5,27.9,38.4,F
159,4.5,68.3,yes,no,53.4,67.8,55.6,58.1,D
160,7.0,60.6,yes,yes,82.7,71.7,77.0,86.0,B
161,3.2,76.2,no,no,51.0,48.2,54.2,48.9,E
162,7.4,78.6,yes,no,80.1,69.3,61.2,86.0,B
163,0.6,72.8,yes,yes,43.3,13.9,45.8,37.8,F
164,4.0,92.0,yes,yes,67.0,93.9,65.3,71.9,C
165,1.6,57.8,no,yes,39.0,38.4,35.6,43.4,E
166,2.9,70.4,yes,no,54.1,59.9,70.7,58.3,D
167,0.7,63.4,yes,no,18.0,45.5,36.2,37.8,F
168,0.8,52.4,yes,no,29.6,50.3,27.8,32.4,F
169,5.8,67.0,yes,yes,70.4,64.0,69.2,66.2,D
170,5.4,85.9,yes,no,95.2,71.2,80.1,78.4,C
171,2.1,76.2,no,no,54.8,33.5,38.2,39.6,F
172,7.3,70.9,yes,yes,86.9,84.2,97.3,86.7,B
173,5.7,73.7,yes,no,80.7,80.6,58.2,80.8,C
174,3.0,65.6,yes,yes,43.7,50.5,39.8,50.5,E
175,3.6,56.1,yes,no,55.8,42.0,37.8,48.2,E
176,2.7,79.5,yes,no,50.8,52.3,79.3,63.4,D
177,6.7,90.8,yes,no,77.3,100.0,99.8,86.1,B
178,4.2,89.5,yes,yes,48.0,62.7,64.5,63.1,D
179,1.5,61.7,yes,no,35.8,28.0,36.3,36.9,F
180,2.0,71.7,yes,yes,45.7,24.3,40.3,43.7,E
181,2.7,77.6,yes,yes,38.0,51.5,59.8,49.5,E
182,3.5,90.1,yes,yes,49.9,56.9,47.5,59.5,D
183,4.9,59.8,yes,no,78.7,64.1,81.9,73.0,C
184,7.7,56.6,yes,no,79.1,89.3,98.0,81.5,C
185,2.5,96.6,yes,no,50.3,47.4,61.8,59.7,D
186,3.0,57.3,no,yes,32.5,39.6,41.6,38.6,F
187,0.7,99.5,yes,no,51.7,49.6,46.3,44.7,E
188,3.3,79.9,yes,yes,64.3,47.5,54.3,58.4,D
189,5.6,74.9,yes,no,70.4,72.9,55.4,71.8,C
190,7.7,59.4,yes,no,65.5,73.4,77.6,76.1,C
191,6.1,93.0,yes,no,73.9,92.3,80.2,86.6,B
192,1.4,58.6,yes,no,7.6,32.8,16.7,25.5,F
193,7.2,70.1,yes,yes,71.1,55.2,78.0,80.1,C
194,6.8,52.4,yes,no,90.4,88.5,91.3,84.1,C
195,1.9,51.1,yes,yes,24.7,36.9,36.8,32.5,F
196,7.5,86.5,yes,no,82.8,100.0,96.6,93.0,B
197,5.9,60.4,yes,yes,62.6,78.9,78.5,71.9,C
198,6.4,80.0,yes,yes,86.3,92.6,94.7,90.7,B
199,3.9,86.2,yes,yes,71.3,56.8,69.7,60.9,D
200,2.0,74.6,yes,no,45.7,43.3,65.7,54.9,E
201,6.5,82.8,yes,yes,84.0,93.9,98.9,90.0,B
202,4.1,62.1,yes,no,38.3,44.0,43.1,50.1,E
203,7.8,90.9,yes,no,100.0,92.8,100.0,100.0,A
204,1.7,60.3,yes,yes,41.8,40.5,37.8,42.2,E
205,3.2,79.5,yes,yes,45.8,63.5,50.2,59.9,D
206,6.0,91.8,yes,no,72.1,93.0,76.3,82.7,C
207,4.8,89.7,yes,no,84.1,82.3,71.1,80.2,C
208,3.7,52.6,yes,yes,68.6,60.5,66.4,57.8,D
209,5.8,68.4,yes,yes,58.9,61.4,67.7,65.2,D
210,6.0,92.6,yes,yes,89.1,77.9,93.2,82.5,C
211,4.8,92.5,yes,yes,79.9,73.5,86.9,76.2,C
212,2.9,81.8,yes,yes,84.3,67.5,64.3,65.5,D
213,5.1,55.4,no,no,52.9,50.8,69.7,62.8,D
214,4.6,70.2,yes,no,79.3,51.6,47.3,61.4,D
215,6.5,98.1,yes,yes,90.9,92.9,74.5,83.2,C
216,5.4,55.3,yes,yes,58.4,68.2,52.9,67.5,D
217,4.2,90.1,yes,no,82.4,48.1,66.6,75.7,C
218,0.6,70.9,yes,no,35.3,47.9,35.1,43.0,E
219,1.8,87.2,no,no,54.4,52.6,46.8,52.1,E
220,3.0,52.7,yes,no,53.2,49.2,42.7,47.3,E
221,5.0,50.5,yes,no,55.3,61.3,54.4,61.5,D
222,6.4,65.0,yes,yes,100.0,99.3,71.5,82.4,C
223,7.7,93.5,yes,no,99.0,98.9,100.0,99.1,A
224,5.0,84.0,yes,no,69.6,45.8,67.5,69.1,D
225,6.0,80.6,yes,yes,85.5,91.5,82.8,77.4,C
226,5.2,99.9,yes,yes,93.0,95.9,78.3,85.6,B
227,3.7,67.4,yes,no,72.0,56.3,52.6,63.1,D
228,5.1,92.5,no,no,87.3,74.9,90.4,80.2,C
229,3.5,55.5,no,no,76.3,64.3,66.4,54.8,E
230,3.9,58.5,yes,yes,47.1,71.6,47.1,44.6,E
231,7.3,73.9,yes,no,99.2,100.0,96.2,97.2,A
232,4.7,98.0,yes,no,83.9,63.3,86.5,70.5,C
233,1.3,85.2,yes,yes,39.8,46.2,50.7,39.7,F
234,4.4,55.6,yes,no,41.0,45.5,50.3,52.6,E
235,7.6,97.7,yes,yes,90.5,87.7,85.7,95.5,A
236,1.3,88.3,yes,no,34.5,37.6,53.8,39.4,F
237,7.8,86.8,no,no,100.0,95.5,63.0,87.6,B
238,7.9,77.6,yes,no,92.3,100.0,99.0,100.0,A
239,4.7,69.7,yes,no,51.8,50.2,59.2,63.7,D
240,3.0,55.5,yes,yes,47.9,32.7,32.3,39.2,F
241,0.6,81.0,yes,no,56.6,19.4,28.1,36.1,F
242,0.6,56.4,yes,yes,14.4,39.3,27.5,28.6,F
243,3.4,79.5,no,no,85.1,67.8,74.7,64.0,D
244,6.4,77.0,yes,no,72.7,86.0,73.9,82.2,C
245,7.6,79.8,no,yes,77.5,95.8,100.0,95.8,A
246,1.7,91.3,yes,yes,29.1,46.6,40.8,44.0,E
247,4.2,70.6,yes,no,69.7,71.9,55.9,69.1,D
248,4.3,71.8,yes,no,66.0,73.7,62.2,70.3,C
249,3.4,53.0,yes,no,39.1,31.6,34.5,40.0,E
250,4.5,64.4,yes,no,53.7,68.1,54.1,59.2,D
251,7.4,54.1,yes,no,74.3,99.7,76.5,87.5,B
252,3.8,57.1,yes,yes,55.5,51.3,55.0,48.8,E
253,1.5,71.3,yes,yes,27.0,30.2,38.5,32.5,F
254,5.5,70.4,no,yes,74.5,82.2,61.5,63.2,D
255,0.7,96.8,yes,no,45.0,45.6,26.8,38.2,F
256,7.6,56.0,yes,no,74.0,61.4,71.1,77.6,C
257,7.5,57.5,no,no,82.6,94.5,88.1,87.9,B
258,1.2,87.5,yes,yes,13.5,46.3,21.7,34.9,F
259,4.6,51.1,yes,yes,66.7,56.7,45.3,58.4,D
260,6.5,82.5,yes,no,95.2,80.5,90.3,93.4,B
261,4.0,87.4,yes,yes,80.5,88.2,60.3,75.8,C
262,4.1,81.4,yes,no,58.2,70.5,74.0,67.4,D
263,7.8,64.4,no,no,86.2,98.5,87.4,86.1,B
264,2.2,55.2,yes,no,23.7,38.5,49.4,36.2,F
265,4.4,99.7,yes,no,65.3,58.8,63.1,75.7,C
266,1.4,93.0,yes,no,68.4,62.7,48.3,55.3,D
267,2.8,86.5,yes,no,48.2,58.7,59.4,51.8,E
268,6.9,59.4,yes,yes,71.0,63.0,80.2,72.6,C
269,5.9,71.5,no,no,54.6,94.8,53.4,69.4,D
270,5.1,85.5,yes,yes,65.1,65.8,90.1,74.9,C
271,1.4,55.1,yes,no,18.7,23.0,22.3,30.2,F
272,6.9,97.9,yes,no,96.9,100.0,100.0,100.0,A
273,2.7,97.8,yes,no,52.3,45.4,56.2,58.8,D
274,4.5,57.5,yes,yes,58.8,61.4,71.0,62.3,D
275,2.3,59.9,yes,no,54.4,42.4,28.0,49.2,E
276,4.4,68.2,yes,no,83.2,68.8,100.0,69.0,D
277,4.7,72.5,yes,no,64.8,50.3,60.1,60.3,D
278,3.1,72.0,yes,yes,47.6,78.2,71.2,58.1,D
279,4.3,84.4,yes,no,57.5,61.8,71.5,70.7,C
280,3.5,73.5,yes,yes,46.4,64.0,60.3,56.5,D
281,5.7,59.2,yes,no,77.3,61.5,85.9,75.9,C
282,4.6,63.1,yes,no,69.4,57.6,76.9,59.3,D
283,7.1,70.6,yes,no,85.8,89.6,76.3,76.3,C
284,0.9,76.0,yes,yes,48.7,29.6,44.1,28.0,F
285,0.7,96.2,yes,yes,45.7,60.1,47.1,46.8,E
286,1.9,54.8,yes,no,31.0,34.5,42.5,36.4,F
287,1.4,90.2,yes,no,52.0,59.2,54.9,52.6,E
288,4.4,65.5,yes,yes,51.0,71.4,71.4,69.3,D
289,2.0,86.4,no,yes,53.0,43.5,51.0,53.1,E
290,0.6,62.9,yes,yes,27.4,42.7,27.9,31.0,F
291,2.6,69.3,yes,no,30.1,34.0,40.5,42.2,E
292,4.3,72.2,no,yes,77.4,69.3,74.3,64.6,D
293,5.9,87.5,no,yes,74.9,80.7,94.4,82.4,C
294,3.8,58.3,yes,no,50.9,59.1,36.1,55.9,D
295,7.7,67.3,yes,no,72.7,88.8,84.2,88.3,B
296,2.0,76.4,yes,no,49.5,68.7,30.6,48.0,E
297,4.4,82.9,yes,yes,92.9,80.7,75.3,73.4,C
298,2.4,53.8,yes,yes,50.5,44.9,35.6,48.5,E
299,6.6,54.7,yes,no,86.0,73.1,62.7,75.1,C
300,1.9,85.9,yes,no,50.1,56.8,53.5,56.7,D
301,7.7,68.3,yes,yes,97.5,86.9,75.7,90.9,B
302,5.9,58.3,yes,no,60.0,54.9,73.2,67.6,D
303,4.7,63.2,yes,no,49.6,80.9,62.2,60.2,D
304,4.5,79.9,no,yes,77.5,82.6,65.9,73.2,C
305,3.2,97.7,yes,no,78.4,57.8,69.0,64.3,D
306,0.7,86.6,yes,yes,37.1,48.0,41.5,45.8,E
307,7.4,89.9,yes,no,99.7,100.0,97.4,96.6,A
308,6.5,80.4,yes,no,55.3,70.7,100.0,75.0,C
309,1.5,68.6,yes,yes,28.2,21.1,36.6,39.1,F
310,1.4,98.1,yes,no,76.3,42.1,51.3,50.3,E
311,2.8,54.1,no,yes,43.4,36.5,55.7,48.2,E
312,6.2,90.4,no,no,85.3,91.1,100.0,91.6,B
313,4.3,62.9,yes,yes,58.2,38.9,45.7,51.9,E
314,5.4,80.4,yes,no,67.0,86.2,73.8,77.7,C
315,0.5,99.1,yes,yes,53.7,49.6,53.2,47.6,E
316,7.4,92.1,yes,yes,100.0,100.0,95.4,100.0,A
317,1.7,92.5,yes,yes,47.1,56.5,53.0,50.5,E
318,2.9,91.2,yes,no,65.0,39.6,70.0,50.5,E
319,7.6,72.7,yes,no,65.5,59.2,78.9,81.4,C
320,6.0,69.7,yes,yes,70.7,82.9,69.9,74.5,C
321,4.3,75.9,yes,yes,82.4,62.1,87.3,69.2,D
322,7.0,64.3,yes,no,100.0,97.6,86.0,90.7,B
323,1.0,73.9,yes,yes,30.4,33.8,38.1,35.1,F
324,1.1,56.3,yes,no,27.3,36.1,15.1,34.1,F
325,1.7,94.6,yes,no,58.1,65.2,62.3,55.8,D
326,2.5,86.8,yes,yes,26.4,38.4,48.7,46.2,E
327,5.8,53.1,yes,yes,68.2,60.8,53.2,68.1,D
328,4.5,83.0,yes,yes,63.5,74.2,60.4,60.8,D
329,3.7,87.9,yes,yes,56.4,73.4,73.7,64.1,D
330,6.4,93.1,yes,yes,95.9,100.0,90.5,96.0,A
331,2.9,66.5,yes,no,55.8,42.3,50.6,55.8,D
332,1.1,81.5,no,yes,30.2,43.0,56.8,45.1,E
333,3.5,63.8,no,no,60.9,51.2,61.0,61.6,D
334,6.2,92.4,yes,yes,68.4,76.2,89.4,82.6,C
335,4.1,93.8,no,yes,62.8,61.3,81.9,69.4,D
336,7.8,53.8,no,yes,74.4,69.1,71.1,79.6,C
337,6.9,64.3,yes,yes,92.7,77.4,69.6,77.6,C
338,6.4,55.1,yes,yes,85.0,67.5,80.0,76.4,C
339,6.3,69.9,yes,no,97.2,77.2,73.8,81.9,C
340,4.9,50.3,no,no,45.7,43.3,51.7,51.8,E
341,7.3,89.1,yes,no,97.1,100.0,100.0,100.0,A
342,4.9,71.6,yes,yes,65.5,65.2,70.4,62.9,D
343,3.3,76.7,yes,yes,52.9,56.9,48.7,51.9,E
344,2.0,87.1,no,yes,59.1,46.6,65.7,47.9,E
345,6.6,85.6,yes,no,91.5,84.4,100.0,84.7,C
346,3.3,65.7,yes,yes,65.0,58.1,47.6,55.8,D
347,6.4,89.1,yes,no,87.8,100.0,100.0,90.6,B
348,7.9,82.0,yes,no,100.0,100.0,93.9,99.6,A
349,3.5,60.9,yes,yes,48.2,54.1,38.2,53.1,E
350,3.1,51.5,yes,no,64.0,30.7,41.0,40.1,E
351,1.8,87.8,yes,no,41.3,51.2,49.3,44.4,E
352,4.1,58.3,yes,yes,66.5,60.4,59.6,65.1,D
353,5.4,55.6,yes,yes,66.6,54.5,56.5,58.9,D
354,2.8,71.0,yes,no,73.9,48.0,57.2,49.9,E
355,4.1,96.1,no,yes,88.3,79.0,60.4,77.6,C
356,4.5,85.9,yes,no,62.3,80.5,69.6,70.8,C
357,2.6,89.9,yes,no,76.6,56.0,53.7,65.9,D
358,0.7,63.5,yes,yes,24.5,45.8,35.5,40.4,E
359,2.1,91.8,no,yes,55.1,57.3,76.4,60.3,D
360,6.5,70.8,no,yes,70.7,100.0,81.5,78.5,C
361,2.6,99.0,yes,no,63.3,66.1,91.2,67.5,D
362,0.6,78.5,yes,no,47.8,50.8,34.7,40.0,E
363,3.7,80.3,yes,no,80.4,86.9,81.8,69.4,D
364,5.6,95.8,yes,no,90.7,68.2,87.4,78.2,C
365,6.1,97.4,yes,no,74.6,79.5,62.7,79.7,C
366,3.6,50.9,yes,no,35.7,55.2,44.2,50.2,E
367,4.8,61.6,yes,yes,67.2,53.4,76.5,62.3,D
368,6.1,80.7,yes,yes,85.1,78.8,87.3,82.9,C
369,7.2,50.2,yes,yes,67.1,82.3,77.3,85.1,B
370,5.3,65.9,yes,yes,71.9,83.5,58.9,75.5,C
371,5.7,59.8,yes,no,50.7,77.3,42.1,61.0,D
372,1.2,76.2,yes,yes,11.7,31.3,41.9,33.1,F
373,3.7,79.9,no,no,66.8,55.7,53.7,65.3,D
374,7.2,59.5,yes,yes,75.7,100.0,98.7,82.2,C
375,1.7,76.8,yes,no,31.5,43.5,47.9,37.8,F
376,2.8,69.8,yes,no,41.5,48.7,14.4,40.8,E
377,5.6,99.5,yes,yes,61.0,63.7,85.1,80.5,C
378,7.3,53.3,yes,yes,63.6,58.7,67.7,74.8,C
379,0.9,92.0,no,yes,38.7,32.7,35.0,36.3,F
380,7.0,100.0,yes,no,100.0,100.0,100.0,100.0,A
381,2.2,77.1,yes,no,70.5,57.3,54.6,57.0,D
382,7.0,84.0,yes,no,85.2,77.0,86.5,83.1,C
383,7.2,56.4,yes,no,89.5,72.6,71.4,83.7,C
384,6.3,67.5,yes,no,83.8,91.4,91.5,82.9,C
385,7.4,59.1,yes,no,91.7,88.2,66.9,83.0,C
386,7.7,79.2,yes,no,81.9,87.0,90.2,93.4,B
387,7.4,97.1,yes,no,86.6,92.9,90.5,93.7,B
388,4.3,51.5,yes,no,58.1,50.9,74.3,59.2,D
389,4.0,74.7,yes,no,51.9,43.5,40.9,52.0,E
390,1.3,86.2,yes,yes,33.2,47.7,49.0,45.7,E
391,2.1,71.5,no,yes,27.5,63.8,50.8,43.5,E
392,5.4,76.9,yes,no,71.6,83.8,88.4,80.8,C
393,1.5,72.6,yes,no,40.5,53.8,45.1,47.9,E
394,7.6,79.9,yes,no,97.5,91.6,100.0,94.3,B
395,2.2,53.4,yes,no,14.0,32.5,49.1,34.9,F
396,1.2,77.3,yes,no,65.3,48.5,34.6,42.4,E
397,2.3,75.6,yes,no,41.5,52.7,46.8,50.4,E
398,0.9,59.1,yes,yes,15.7,37.5,32.7,32.1,F
399,1.7,76.7,yes,no,30.1,32.0,35.4,43.8,E
400,4.9,73.2,yes,yes,60.0,60.3,77.5,61.5,D
401,2.7,79.7,yes,no,45.4,54.9,52.5,55.0,E
402,6.5,78.2,yes,yes,78.6,86.6,78.4,80.6,C
403,3.5,70.2,yes,yes,51.9,59.7,46.0,56.1,D
404,5.9,89.1,no,yes,89.1,81.1,92.8,88.2,B
405,5.8,67.9,yes,no,74.9,87.5,83.6,76.2,C
406,1.5,73.7,yes,yes,52.6,62.2,36.5,48.6,E
407,0.9,71.3,yes,yes,48.3,26.2,38.3,31.9,F
408,6.8,74.3,no,no,77.4,71.8,89.9,81.6,C
409,5.8,90.0,yes,no,69.3,73.0,83.0,79.9,C
410,1.8,85.5,yes,yes,50.1,34.4,31.9,41.0,E
411,5.6,52.1,yes,yes,62.1,58.2,55.2,58.3,D
412,3.0,74.7,yes,yes,60.0,71.7,45.2,61.2,D
413,0.9,56.2,yes,yes,40.0,37.3,24.3,38.3,F
414,2.2,86.5,yes,yes,39.3,56.9,53.2,44.9,E
415,6.2,99.3,yes,no,94.2,97.4,95.1,80.8,C
416,3.4,80.9,yes,no,64.4,65.3,51.6,55.1,D
417,4.6,69.0,yes,no,72.9,80.2,76.2,70.4,C
418,1.5,53.6,no,yes,34.3,46.6,31.7,37.6,F
